Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“1492 – Die Eroberung des Paradieses”,"Gérard Depardieu, Armand Assante, Sigourney Weaver, Michael Wincott, Tchéky Karyo, Kevin Dunn, Frank Langella, Mark Margolis, Arnold Vosloo",Gaumont / Paramount Pictures,1992,155 min.,,Digital Copy
"“1941 – Wo, bitte, geht’s nach Hollywood?”","Dan Aykroyd, John Belushi, Ned Beatty, John Candy, Nancy Allen, Treat Williams, Mickey Rourke",Columbia Pictures/ Universal Pictures,1979,113 min.,316,Kauf
“1984”,"John Hurt, Richard Burton",Virgin Films,1984,105 min.,277,
“2 Fast 2 Furious”,"Paul Walker, Tyrese Gibson, Eva Mendes, Thom Barry, James Remar, Devon Aoki",Universal Pictures,2003,103 min.,,68
“20000 Meilen unter dem Meer”,Kirk Douglas,Walt Disney Pictures,1954,121 min.,371,1277
“2001 – Odyssee im Weltraum”,Gary Lockwood,Metro Goldwyn Mayer,1968,139 min.,,Kauf
“2002 – Durchgeknallt im All”,"Leslie Nielsen, Ophélie Winter, Alexandra Kamp, Verona Pooth, Michele Scarabelli",Helkon Media / Columbia TriStar,2000,94 min.,,379
“2012”,"John Cusack, Amanda Peet, Thandie Newton, Oliver Platt, Woody Harrelson, Danny Glover, John Billingsley, George Segal, Jimi Mistry, Ty Olsson, Michael Buffer",Columbia Pictures,2009,158 min.,,Kauf (BD)
“23”,,Buena Vista International,1998,95 min.,257,
“28 Tage”,"Sandra Bullock, Viggo Mortensen, Elizabeth Perkins, Steve Buscemi",Columbia Pictures,2000,99 min.,387,1742
“3 Engel für Charlie”,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Tim Curry, Crispin Glover, Tom Green (III), LL Cool J, Matt LeBlanc",Columbia Pictures,2000,94 min.,385,33
“3 Engel für Charlie – Volle Power”,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Robert Patrick, Demi Moore, Matt LeBlanc, Luke Wilson, John Cleese, Pink, Carrie Fisher, Ashley Olsen, Mary-Kate Olsen, Bruce Willis",Columbia Pictures,2003,103 min.,,147
“30 über Nacht”,"Jennifer Garner, Mark Ruffalo, Joe Grifasi",Columbia Pictures,2004,94 min.,,366
“300”,"Gerard Butler, Dominic West, David Wenham",Warner Bros.,2006,112 min.,,1047/ Kauf (BD)
“3000 Miles to Graceland” ,"Kurt Russell, Kevin Costner, Courteney Cox, Christian Slater, Kevin Pollak, David Arquette, Jon Lovitz, Thomas Haden Church, Ice-T",Warner Bros.,2001,120 min.,459,
“40 Days and 40 Nights”,Josh Hartnett,Universal Pictures/ Miramax Films/ Studio Canal,2002,91 min.,522,457
“50 erste Dates”,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Dan Aykroyd, Kevin James",Columbia Pictures,2004,95 min.,,325
“666 – Traue keinem mit dem du schläfst!”,"Jan Josef Liefers, Armin Rohde, Sonsee Neu, Ralf Bauer, Stefan Jürgens, Boris Becker, Iris Berben, Bernd Eichinger, Heiner Lauterbach, Henry Maske, Rudolph Moshammer, Verona Pooth, Claudia Schiffer, Hella von Sinnen",Constantin Film,2002,80 min.,,977
“7 Days to Live”,"Amanda Plummer, Sean Pertwee, Nick Brimble",Senator Film,2000,93 min.,,
“7 Zwerge – Männer allein im Wald”,"Otto Waalkes, Heinz Hoenig, Mirco Nontschew, Boris Aljinovic, Markus Majowski, Martin Schneider, Ralf Schmitz, Cosma Shiva Hagen, Nina Hagen, Hans-Werner Olm, Atze Schröder, Christian Tramitz, Rüdiger Hoffmann, Helge Schneider, Hilmi Sözer, Harald Schmidt, Tom Gerhardt, Helmut Zerlett",Universal Pictures,2004,90 min.,,503
“8 Blickwinkel”,"Dennis Quaid, Forest Whitaker, Bruce McGill, Zoe Saldana, Sigourney Weaver, William Hurt",Columbia Pictures,2008,86 min.,,1123
“8MM”,"Nicolas Cage, Peter Stormare",Columbia Pictures,1998,117 min.,281,Kauf
